frequency,e',e'',u',u''
8506781250.0000,   4.3270,   0.4715,   1.0018,   0.0168
8509375000.0000,   4.3269,   0.4680,   1.0015,   0.0156
8511968750.0000,   4.3236,   0.4712,   1.0022,   0.0168
8514562500.0000,   4.3242,   0.4712,   1.0014,   0.0171
8517156250.0000,   4.3247,   0.4717,   1.0020,   0.0170
8519750000.0000,   4.3284,   0.4741,   1.0021,   0.0178
8522343750.0000,   4.3261,   0.4728,   1.0017,   0.0156
8524937500.0000,   4.3258,   0.4743,   1.0030,   0.0166
8527531250.0000,   4.3255,   0.4733,   1.0021,   0.0161
8530125000.0000,   4.3248,   0.4768,   1.0023,   0.0166
8532718750.0000,   4.3304,   0.4734,   1.0022,   0.0155
8535312500.0000,   4.3301,   0.4786,   1.0015,   0.0157
8537906250.0000,   4.3266,   0.4777,   1.0028,   0.0153
8540500000.0000,   4.3301,   0.4788,   1.0015,   0.0141
8543093750.0000,   4.3280,   0.4771,   1.0026,   0.0143
8545687500.0000,   4.3289,   0.4805,   1.0016,   0.0147
8548281250.0000,   4.3282,   0.4851,   1.0019,   0.0153
8550875000.0000,   4.3305,   0.4814,   1.0022,   0.0126
8553468750.0000,   4.3299,   0.4864,   1.0029,   0.0142
8556062500.0000,   4.3303,   0.4839,   1.0009,   0.0137
8558656250.0000,   4.3298,   0.4854,   1.0014,   0.0140
8561250000.0000,   4.3300,   0.4866,   1.0019,   0.0137
8563843750.0000,   4.3300,   0.4834,   1.0019,   0.0125
8566437500.0000,   4.3320,   0.4841,   1.0018,   0.0121
8569031250.0000,   4.3324,   0.4866,   1.0012,   0.0128
8571625000.0000,   4.3296,   0.4831,   1.0022,   0.0124
8574218750.0000,   4.3366,   0.4827,   1.0008,   0.0121
8576812500.0000,   4.3286,   0.4824,   1.0021,   0.0112
8579406250.0000,   4.3342,   0.4868,   1.0005,   0.0111
8582000000.0000,   4.3338,   0.4836,   1.0017,   0.0122
8584593750.0000,   4.3305,   0.4835,   1.0011,   0.0117
8587187500.0000,   4.3315,   0.4842,   1.0009,   0.0127
8589781250.0000,   4.3287,   0.4805,   1.0012,   0.0124
8592375000.0000,   4.3300,   0.4818,   1.0009,   0.0119
8594968750.0000,   4.3286,   0.4840,   1.0015,   0.0124
8597562500.0000,   4.3309,   0.4814,   1.0002,   0.0124
8600156250.0000,   4.3331,   0.4808,   1.0004,   0.0117
8602750000.0000,   4.3265,   0.4805,   1.0011,   0.0119
8605343750.0000,   4.3247,   0.4810,   1.0003,   0.0124
8607937500.0000,   4.3227,   0.4771,   1.0015,   0.0122
8610531250.0000,   4.3232,   0.4809,   1.0012,   0.0129
8613125000.0000,   4.3210,   0.4812,   1.0006,   0.0130
8615718750.0000,   4.3230,   0.4786,   1.0008,   0.0132
8618312500.0000,   4.3211,   0.4773,   1.0008,   0.0124
8620906250.0000,   4.3213,   0.4804,   1.0020,   0.0141
8623500000.0000,   4.3180,   0.4803,   1.0021,   0.0138
8626093750.0000,   4.3224,   0.4800,   1.0013,   0.0135
8628687500.0000,   4.3169,   0.4780,   1.0029,   0.0130
8631281250.0000,   4.3199,   0.4753,   1.0023,   0.0133
8633875000.0000,   4.3153,   0.4799,   1.0030,   0.0143
8636468750.0000,   4.3172,   0.4780,   1.0024,   0.0123
8639062500.0000,   4.3165,   0.4780,   1.0033,   0.0128
8641656250.0000,   4.3202,   0.4816,   1.0017,   0.0130
8644250000.0000,   4.3187,   0.4786,   1.0028,   0.0122
8646843750.0000,   4.3183,   0.4820,   1.0019,   0.0127
8649437500.0000,   4.3170,   0.4799,   1.0023,   0.0122
8652031250.0000,   4.3181,   0.4783,   1.0027,   0.0111
8654625000.0000,   4.3198,   0.4784,   1.0024,   0.0115
8657218750.0000,   4.3181,   0.4836,   1.0026,   0.0126
8659812500.0000,   4.3206,   0.4820,   1.0024,   0.0109
8662406250.0000,   4.3178,   0.4829,   1.0025,   0.0120
8665000000.0000,   4.3183,   0.4816,   1.0031,   0.0114
8667593750.0000,   4.3248,   0.4845,   1.0013,   0.0107
8670187500.0000,   4.3181,   0.4799,   1.0027,   0.0113
8672781250.0000,   4.3247,   0.4801,   1.0021,   0.0094
8675375000.0000,   4.3238,   0.4805,   1.0030,   0.0090
8677968750.0000,   4.3228,   0.4813,   1.0022,   0.0100
8680562500.0000,   4.3262,   0.4807,   1.0020,   0.0096
8683156250.0000,   4.3260,   0.4838,   1.0024,   0.0094
8685750000.0000,   4.3232,   0.4834,   1.0015,   0.0102
8688343750.0000,   4.3287,   0.4812,   1.0006,   0.0081
8690937500.0000,   4.3276,   0.4795,   1.0023,   0.0090
8693531250.0000,   4.3272,   0.4821,   1.0008,   0.0091
8696125000.0000,   4.3228,   0.4823,   1.0019,   0.0086
8698718750.0000,   4.3310,   0.4807,   1.0010,   0.0095
8701312500.0000,   4.3290,   0.4803,   1.0002,   0.0096
8703906250.0000,   4.3287,   0.4797,   1.0010,   0.0094
8706500000.0000,   4.3267,   0.4797,   1.0006,   0.0108
8709093750.0000,   4.3262,   0.4790,   1.0009,   0.0085
8711687500.0000,   4.3304,   0.4778,   0.9993,   0.0099
8714281250.0000,   4.3291,   0.4769,   1.0001,   0.0087
8716875000.0000,   4.3258,   0.4748,   1.0012,   0.0100
8719468750.0000,   4.3285,   0.4802,   0.9996,   0.0114
8722062500.0000,   4.3258,   0.4774,   0.9990,   0.0106
8724656250.0000,   4.3281,   0.4750,   0.9999,   0.0102
8727250000.0000,   4.3267,   0.4754,   1.0006,   0.0114
8729843750.0000,   4.3273,   0.4757,   1.0002,   0.0107
8732437500.0000,   4.3245,   0.4751,   1.0008,   0.0114
8735031250.0000,   4.3267,   0.4717,   1.0005,   0.0094
8737625000.0000,   4.3212,   0.4746,   1.0016,   0.0104
8740218750.0000,   4.3234,   0.4735,   1.0011,   0.0107
8742812500.0000,   4.3221,   0.4751,   1.0016,   0.0105
8745406250.0000,   4.3223,   0.4760,   1.0012,   0.0118
8748000000.0000,   4.3256,   0.4746,   1.0003,   0.0118
8750593750.0000,   4.3258,   0.4755,   1.0010,   0.0107
8753187500.0000,   4.3271,   0.4741,   1.0022,   0.0121
8755781250.0000,   4.3245,   0.4783,   1.0026,   0.0132
8758375000.0000,   4.3276,   0.4771,   1.0006,   0.0124
8760968750.0000,   4.3239,   0.4750,   1.0029,   0.0111
8763562500.0000,   4.3233,   0.4821,   1.0035,   0.0132
8766156250.0000,   4.3256,   0.4748,   1.0029,   0.0105
8768750000.0000,   4.3229,   0.4780,   1.0032,   0.0116
8771343750.0000,   4.3240,   0.4789,   1.0041,   0.0126
8773937500.0000,   4.3274,   0.4798,   1.0038,   0.0113
8776531250.0000,   4.3318,   0.4799,   1.0022,   0.0106
8779125000.0000,   4.3292,   0.4777,   1.0046,   0.0118
8781718750.0000,   4.3318,   0.4811,   1.0042,   0.0121
8784312500.0000,   4.3324,   0.4782,   1.0033,   0.0106
8786906250.0000,   4.3394,   0.4809,   1.0032,   0.0119
8789500000.0000,   4.3367,   0.4812,   1.0038,   0.0111
8792093750.0000,   4.3424,   0.4792,   1.0022,   0.0103
8794687500.0000,   4.3431,   0.4818,   1.0028,   0.0107
8797281250.0000,   4.3445,   0.4816,   1.0024,   0.0104
8799875000.0000,   4.3471,   0.4785,   1.0023,   0.0088
8802468750.0000,   4.3478,   0.4830,   1.0008,   0.0094
8805062500.0000,   4.3474,   0.4818,   1.0020,   0.0103
8807656250.0000,   4.3529,   0.4834,   1.0009,   0.0105
8810250000.0000,   4.3563,   0.4828,   0.9994,   0.0087
8812843750.0000,   4.3561,   0.4829,   0.9991,   0.0087
8815437500.0000,   4.3569,   0.4801,   0.9987,   0.0088
8818031250.0000,   4.3577,   0.4847,   0.9980,   0.0103
8820625000.0000,   4.3623,   0.4828,   0.9965,   0.0093
8823218750.0000,   4.3617,   0.4814,   0.9963,   0.0104
8825812500.0000,   4.3657,   0.4768,   0.9954,   0.0081
8828406250.0000,   4.3619,   0.4788,   0.9950,   0.0091
8831000000.0000,   4.3641,   0.4782,   0.9934,   0.0102
8833593750.0000,   4.3650,   0.4771,   0.9930,   0.0096
8836187500.0000,   4.3625,   0.4764,   0.9927,   0.0098
8838781250.0000,   4.3656,   0.4749,   0.9917,   0.0086
8841375000.0000,   4.3668,   0.4723,   0.9903,   0.0098
8843968750.0000,   4.3613,   0.4741,   0.9907,   0.0103
8846562500.0000,   4.3628,   0.4734,   0.9896,   0.0110
8849156250.0000,   4.3606,   0.4709,   0.9891,   0.0107
8851750000.0000,   4.3581,   0.4700,   0.9897,   0.0114
8854343750.0000,   4.3575,   0.4670,   0.9890,   0.0118
8856937500.0000,   4.3497,   0.4668,   0.9885,   0.0119
8859531250.0000,   4.3519,   0.4632,   0.9878,   0.0119
8862125000.0000,   4.3487,   0.4646,   0.9875,   0.0129
8864718750.0000,   4.3446,   0.4630,   0.9882,   0.0137
8867312500.0000,   4.3428,   0.4663,   0.9880,   0.0142
8869906250.0000,   4.3416,   0.4615,   0.9878,   0.0147
8872500000.0000,   4.3369,   0.4619,   0.9877,   0.0143
8875093750.0000,   4.3332,   0.4614,   0.9889,   0.0151
8877687500.0000,   4.3339,   0.4567,   0.9884,   0.0156
8880281250.0000,   4.3306,   0.4597,   0.9884,   0.0169
8882875000.0000,   4.3277,   0.4565,   0.9891,   0.0171
