frequency,e',e'',u',u''
9378281250.0000,   4.3018,   0.4889,   1.0090,   0.0211
9380875000.0000,   4.3006,   0.4899,   1.0093,   0.0215
9383468750.0000,   4.3040,   0.4877,   1.0086,   0.0220
9386062500.0000,   4.3016,   0.4909,   1.0092,   0.0234
9388656250.0000,   4.2981,   0.4853,   1.0099,   0.0226
9391250000.0000,   4.2963,   0.4890,   1.0105,   0.0235
9393843750.0000,   4.2965,   0.4914,   1.0099,   0.0236
9396437500.0000,   4.2948,   0.4890,   1.0104,   0.0233
9399031250.0000,   4.2977,   0.4846,   1.0095,   0.0231
9401625000.0000,   4.2962,   0.4851,   1.0109,   0.0232
9404218750.0000,   4.2970,   0.4889,   1.0094,   0.0249
9406812500.0000,   4.2938,   0.4860,   1.0114,   0.0247
9409406250.0000,   4.2898,   0.4876,   1.0111,   0.0254
9412000000.0000,   4.2926,   0.4876,   1.0116,   0.0255
9414593750.0000,   4.2904,   0.4886,   1.0115,   0.0256
9417187500.0000,   4.2890,   0.4888,   1.0120,   0.0258
9419781250.0000,   4.2872,   0.4881,   1.0117,   0.0258
9422375000.0000,   4.2897,   0.4925,   1.0120,   0.0270
9424968750.0000,   4.2872,   0.4924,   1.0131,   0.0267
9427562500.0000,   4.2835,   0.4934,   1.0139,   0.0259
9430156250.0000,   4.2820,   0.4990,   1.0135,   0.0276
9432750000.0000,   4.2778,   0.4955,   1.0147,   0.0269
9435343750.0000,   4.2856,   0.4967,   1.0139,   0.0265
9437937500.0000,   4.2830,   0.5000,   1.0147,   0.0269
9440531250.0000,   4.2808,   0.5004,   1.0144,   0.0275
9443125000.0000,   4.2783,   0.4984,   1.0155,   0.0269
9445718750.0000,   4.2828,   0.5038,   1.0152,   0.0264
9448312500.0000,   4.2862,   0.5049,   1.0149,   0.0265
9450906250.0000,   4.2815,   0.5017,   1.0158,   0.0257
9453500000.0000,   4.2828,   0.5071,   1.0159,   0.0265
9456093750.0000,   4.2847,   0.5059,   1.0161,   0.0252
9458687500.0000,   4.2791,   0.5102,   1.0169,   0.0262
9461281250.0000,   4.2814,   0.5057,   1.0168,   0.0247
9463875000.0000,   4.2838,   0.5059,   1.0160,   0.0239
9466468750.0000,   4.2865,   0.5059,   1.0168,   0.0248
9469062500.0000,   4.2836,   0.5099,   1.0158,   0.0249
9471656250.0000,   4.2908,   0.5113,   1.0170,   0.0239
9474250000.0000,   4.2869,   0.5112,   1.0174,   0.0237
9476843750.0000,   4.2873,   0.5114,   1.0176,   0.0236
9479437500.0000,   4.2920,   0.5119,   1.0168,   0.0238
9482031250.0000,   4.2867,   0.5102,   1.0173,   0.0235
9484625000.0000,   4.2928,   0.5090,   1.0172,   0.0230
9487218750.0000,   4.2922,   0.5133,   1.0168,   0.0238
9489812500.0000,   4.2932,   0.5147,   1.0167,   0.0238
9492406250.0000,   4.2979,   0.5105,   1.0161,   0.0231
9495000000.0000,   4.2974,   0.5135,   1.0160,   0.0234
9497593750.0000,   4.2985,   0.5118,   1.0165,   0.0234
9500187500.0000,   4.3019,   0.5124,   1.0157,   0.0240
9502781250.0000,   4.3028,   0.5108,   1.0149,   0.0226
9505375000.0000,   4.3003,   0.5136,   1.0140,   0.0245
9507968750.0000,   4.3020,   0.5103,   1.0145,   0.0239
9510562500.0000,   4.3037,   0.5108,   1.0149,   0.0244
9513156250.0000,   4.3058,   0.5090,   1.0138,   0.0242
9515750000.0000,   4.3069,   0.5086,   1.0141,   0.0237
9518343750.0000,   4.3043,   0.5097,   1.0141,   0.0252
9520937500.0000,   4.3037,   0.5092,   1.0132,   0.0258
9523531250.0000,   4.3059,   0.5083,   1.0136,   0.0251
9526125000.0000,   4.3069,   0.5036,   1.0127,   0.0253
9528718750.0000,   4.3009,   0.5057,   1.0144,   0.0262
9531312500.0000,   4.3004,   0.5035,   1.0132,   0.0267
9533906250.0000,   4.2991,   0.5030,   1.0131,   0.0274
9536500000.0000,   4.2980,   0.5017,   1.0137,   0.0284
9539093750.0000,   4.2962,   0.5006,   1.0131,   0.0282
9541687500.0000,   4.2966,   0.5033,   1.0127,   0.0302
9544281250.0000,   4.2915,   0.5029,   1.0141,   0.0307
9546875000.0000,   4.2901,   0.5041,   1.0139,   0.0309
9549468750.0000,   4.2872,   0.5048,   1.0148,   0.0320
9552062500.0000,   4.2820,   0.5021,   1.0157,   0.0318
9554656250.0000,   4.2820,   0.5065,   1.0147,   0.0333
9557250000.0000,   4.2822,   0.5019,   1.0155,   0.0323
9559843750.0000,   4.2729,   0.5085,   1.0174,   0.0342
9562437500.0000,   4.2773,   0.5041,   1.0174,   0.0335
9565031250.0000,   4.2708,   0.5072,   1.0185,   0.0359
9567625000.0000,   4.2697,   0.5039,   1.0185,   0.0347
9570218750.0000,   4.2658,   0.5084,   1.0197,   0.0348
9572812500.0000,   4.2652,   0.5090,   1.0200,   0.0364
9575406250.0000,   4.2616,   0.5099,   1.0211,   0.0354
9578000000.0000,   4.2619,   0.5128,   1.0217,   0.0357
9580593750.0000,   4.2633,   0.5134,   1.0217,   0.0360
9583187500.0000,   4.2638,   0.5213,   1.0224,   0.0371
9585781250.0000,   4.2527,   0.5213,   1.0251,   0.0367
9588375000.0000,   4.2558,   0.5175,   1.0249,   0.0363
9590968750.0000,   4.2568,   0.5250,   1.0254,   0.0369
9593562500.0000,   4.2557,   0.5247,   1.0262,   0.0371
9596156250.0000,   4.2594,   0.5281,   1.0253,   0.0362
9598750000.0000,   4.2582,   0.5325,   1.0279,   0.0360
9601343750.0000,   4.2583,   0.5342,   1.0280,   0.0359
9603937500.0000,   4.2568,   0.5375,   1.0279,   0.0358
9606531250.0000,   4.2605,   0.5389,   1.0287,   0.0362
9609125000.0000,   4.2618,   0.5404,   1.0289,   0.0350
9611718750.0000,   4.2640,   0.5425,   1.0292,   0.0341
9614312500.0000,   4.2669,   0.5484,   1.0295,   0.0349
9616906250.0000,   4.2694,   0.5474,   1.0301,   0.0333
9619500000.0000,   4.2769,   0.5509,   1.0290,   0.0337
9622093750.0000,   4.2752,   0.5556,   1.0299,   0.0354
9624687500.0000,   4.2795,   0.5535,   1.0304,   0.0333
9627281250.0000,   4.2844,   0.5514,   1.0289,   0.0318
9629875000.0000,   4.2854,   0.5586,   1.0292,   0.0325
9632468750.0000,   4.2870,   0.5593,   1.0295,   0.0327
9635062500.0000,   4.2944,   0.5601,   1.0292,   0.0325
9637656250.0000,   4.2940,   0.5625,   1.0293,   0.0324
9640250000.0000,   4.2987,   0.5612,   1.0279,   0.0324
9642843750.0000,   4.3042,   0.5622,   1.0270,   0.0325
9645437500.0000,   4.2995,   0.5666,   1.0282,   0.0333
9648031250.0000,   4.3065,   0.5625,   1.0268,   0.0330
9650625000.0000,   4.3111,   0.5617,   1.0255,   0.0328
9653218750.0000,   4.3119,   0.5652,   1.0255,   0.0338
9655812500.0000,   4.3170,   0.5583,   1.0239,   0.0325
9658406250.0000,   4.3208,   0.5579,   1.0231,   0.0340
9661000000.0000,   4.3242,   0.5600,   1.0219,   0.0348
9663593750.0000,   4.3274,   0.5606,   1.0209,   0.0349
9666187500.0000,   4.3262,   0.5547,   1.0208,   0.0352
9668781250.0000,   4.3278,   0.5578,   1.0198,   0.0370
9671375000.0000,   4.3323,   0.5519,   1.0192,   0.0368
9673968750.0000,   4.3310,   0.5546,   1.0188,   0.0376
9676562500.0000,   4.3339,   0.5516,   1.0170,   0.0388
9679156250.0000,   4.3327,   0.5515,   1.0159,   0.0398
9681750000.0000,   4.3314,   0.5495,   1.0162,   0.0413
9684343750.0000,   4.3323,   0.5498,   1.0152,   0.0420
9686937500.0000,   4.3323,   0.5488,   1.0145,   0.0430
9689531250.0000,   4.3342,   0.5465,   1.0127,   0.0443
9692125000.0000,   4.3338,   0.5445,   1.0125,   0.0444
9694718750.0000,   4.3312,   0.5442,   1.0122,   0.0463
9697312500.0000,   4.3304,   0.5408,   1.0116,   0.0468
9699906250.0000,   4.3284,   0.5439,   1.0104,   0.0485
9702500000.0000,   4.3223,   0.5390,   1.0102,   0.0485
9705093750.0000,   4.3235,   0.5376,   1.0095,   0.0488
9707687500.0000,   4.3211,   0.5492,   1.0092,   0.0515
9710281250.0000,   4.3172,   0.5475,   1.0092,   0.0534
9712875000.0000,   4.3191,   0.5452,   1.0080,   0.0538
9715468750.0000,   4.3149,   0.5450,   1.0073,   0.0535
9718062500.0000,   4.3093,   0.5435,   1.0073,   0.0542
9720656250.0000,   4.3087,   0.5446,   1.0061,   0.0547
9723250000.0000,   4.3016,   0.5523,   1.0072,   0.0575
9725843750.0000,   4.3035,   0.5481,   1.0070,   0.0557
9728437500.0000,   4.3012,   0.5540,   1.0067,   0.0570
9731031250.0000,   4.2942,   0.5588,   1.0065,   0.0582
9733625000.0000,   4.2884,   0.5548,   1.0065,   0.0589
9736218750.0000,   4.2922,   0.5561,   1.0057,   0.0576
9738812500.0000,   4.2895,   0.5588,   1.0051,   0.0583
9741406250.0000,   4.2881,   0.5590,   1.0049,   0.0584
9744000000.0000,   4.2835,   0.5620,   1.0060,   0.0588
9746593750.0000,   4.2821,   0.5640,   1.0053,   0.0587
9749187500.0000,   4.2830,   0.5678,   1.0039,   0.0593
9751781250.0000,   4.2812,   0.5688,   1.0046,   0.0592
9754375000.0000,   4.2777,   0.5683,   1.0038,   0.0589
9756968750.0000,   4.2711,   0.5683,   1.0054,   0.0595
9759562500.0000,   4.2745,   0.5704,   1.0035,   0.0591
9762156250.0000,   4.2742,   0.5732,   1.0028,   0.0592
9764750000.0000,   4.2739,   0.5731,   1.0018,   0.0590
9767343750.0000,   4.2687,   0.5720,   1.0029,   0.0590
9769937500.0000,   4.2724,   0.5727,   1.0012,   0.0591
9772531250.0000,   4.2699,   0.5754,   1.0015,   0.0603
9775125000.0000,   4.2717,   0.5756,   1.0000,   0.0593
9777718750.0000,   4.2693,   0.5773,   0.9993,   0.0605
9780312500.0000,   4.2728,   0.5749,   0.9989,   0.0598
9782906250.0000,   4.2711,   0.5743,   0.9979,   0.0601
9785500000.0000,   4.2740,   0.5728,   0.9962,   0.0593
9788093750.0000,   4.2725,   0.5706,   0.9959,   0.0600
9790687500.0000,   4.2723,   0.5694,   0.9944,   0.0596
9793281250.0000,   4.2742,   0.5676,   0.9935,   0.0599
9795875000.0000,   4.2768,   0.5662,   0.9932,   0.0603
9798468750.0000,   4.2747,   0.5639,   0.9914,   0.0604
9801062500.0000,   4.2762,   0.5647,   0.9890,   0.0608
9803656250.0000,   4.2761,   0.5610,   0.9875,   0.0614
9806250000.0000,   4.2783,   0.5587,   0.9857,   0.0616
9808843750.0000,   4.2770,   0.5557,   0.9845,   0.0624
9811437500.0000,   4.2782,   0.5531,   0.9831,   0.0623
9814031250.0000,   4.2774,   0.5509,   0.9818,   0.0630
9816625000.0000,   4.2793,   0.5518,   0.9801,   0.0631
9819218750.0000,   4.2780,   0.5463,   0.9784,   0.0633
9821812500.0000,   4.2821,   0.5439,   0.9768,   0.0632
9824406250.0000,   4.2804,   0.5402,   0.9758,   0.0635
9827000000.0000,   4.2800,   0.5377,   0.9742,   0.0637
9829593750.0000,   4.2804,   0.5377,   0.9728,   0.0645
9832187500.0000,   4.2765,   0.5366,   0.9712,   0.0652
9834781250.0000,   4.2779,   0.5325,   0.9698,   0.0653
9837375000.0000,   4.2743,   0.5293,   0.9689,   0.0649
9839968750.0000,   4.2711,   0.5308,   0.9677,   0.0656
9842562500.0000,   4.2690,   0.5291,   0.9663,   0.0660
9845156250.0000,   4.2709,   0.5257,   0.9645,   0.0656
9847750000.0000,   4.2669,   0.5212,   0.9632,   0.0661
9850343750.0000,   4.2667,   0.5235,   0.9620,   0.0660
9852937500.0000,   4.2629,   0.5194,   0.9613,   0.0665
9855531250.0000,   4.2610,   0.5191,   0.9608,   0.0664
9858125000.0000,   4.2591,   0.5185,   0.9593,   0.0666
9860718750.0000,   4.2552,   0.5164,   0.9577,   0.0659
9863312500.0000,   4.2526,   0.5144,   0.9576,   0.0665
9865906250.0000,   4.2495,   0.5138,   0.9562,   0.0661
9868500000.0000,   4.2470,   0.5126,   0.9561,   0.0656
9871093750.0000,   4.2469,   0.5138,   0.9554,   0.0658
9873687500.0000,   4.2434,   0.5097,   0.9541,   0.0651
9876281250.0000,   4.2383,   0.5132,   0.9539,   0.0650
9878875000.0000,   4.2389,   0.5116,   0.9531,   0.0645
9881468750.0000,   4.2395,   0.5119,   0.9524,   0.0635
9884062500.0000,   4.2352,   0.5090,   0.9515,   0.0629
9886656250.0000,   4.2312,   0.5070,   0.9514,   0.0625
9889250000.0000,   4.2290,   0.5070,   0.9518,   0.0617
9891843750.0000,   4.2286,   0.5061,   0.9513,   0.0611
9894437500.0000,   4.2276,   0.5071,   0.9504,   0.0602
9897031250.0000,   4.2243,   0.5075,   0.9501,   0.0600
9899625000.0000,   4.2230,   0.5044,   0.9500,   0.0591
9902218750.0000,   4.2217,   0.5032,   0.9496,   0.0577
9904812500.0000,   4.2215,   0.5057,   0.9490,   0.0576
9907406250.0000,   4.2209,   0.5042,   0.9492,   0.0571
9910000000.0000,   4.2224,   0.5048,   0.9489,   0.0553
9912593750.0000,   4.2186,   0.4987,   0.9488,   0.0539
9915187500.0000,   4.2215,   0.5023,   0.9484,   0.0538
9917781250.0000,   4.2181,   0.5004,   0.9482,   0.0528
9920375000.0000,   4.2184,   0.4975,   0.9479,   0.0519
9922968750.0000,   4.2201,   0.4996,   0.9470,   0.0511
9925562500.0000,   4.2176,   0.4992,   0.9477,   0.0502
9928156250.0000,   4.2167,   0.4988,   0.9479,   0.0494
9930750000.0000,   4.2188,   0.4940,   0.9471,   0.0487
9933343750.0000,   4.2183,   0.4964,   0.9464,   0.0480
9935937500.0000,   4.2173,   0.4946,   0.9467,   0.0469
9938531250.0000,   4.2184,   0.4917,   0.9465,   0.0468
9941125000.0000,   4.2184,   0.4913,   0.9464,   0.0456
9943718750.0000,   4.2188,   0.4901,   0.9455,   0.0449
9946312500.0000,   4.2196,   0.4890,   0.9448,   0.0448
9948906250.0000,   4.2170,   0.4869,   0.9459,   0.0441
9951500000.0000,   4.2214,   0.4852,   0.9448,   0.0434
9954093750.0000,   4.2201,   0.4846,   0.9445,   0.0432
9956687500.0000,   4.2216,   0.4850,   0.9449,   0.0429
9959281250.0000,   4.2233,   0.4816,   0.9442,   0.0421
9961875000.0000,   4.2223,   0.4766,   0.9439,   0.0409
9964468750.0000,   4.2241,   0.4794,   0.9440,   0.0409
9967062500.0000,   4.2227,   0.4777,   0.9435,   0.0401
9969656250.0000,   4.2234,   0.4772,   0.9437,   0.0404
9972250000.0000,   4.2254,   0.4765,   0.9429,   0.0396
9974843750.0000,   4.2267,   0.4760,   0.9426,   0.0390
9977437500.0000,   4.2284,   0.4735,   0.9427,   0.0385
9980031250.0000,   4.2249,   0.4753,   0.9428,   0.0382
9982625000.0000,   4.2248,   0.4710,   0.9427,   0.0373
9985218750.0000,   4.2272,   0.4738,   0.9423,   0.0367
9987812500.0000,   4.2266,   0.4724,   0.9422,   0.0366
9990406250.0000,   4.2250,   0.4731,   0.9428,   0.0354
9993000000.0000,   4.2269,   0.4710,   0.9420,   0.0348
9995593750.0000,   4.2272,   0.4721,   0.9422,   0.0351
9998187500.0000,   4.2256,   0.4729,   0.9420,   0.0334
10000781250.0000,   4.2268,   0.4688,   0.9419,   0.0329
10003375000.0000,   4.2264,   0.4722,   0.9419,   0.0330
10005968750.0000,   4.2260,   0.4723,   0.9419,   0.0319
10008562500.0000,   4.2254,   0.4741,   0.9426,   0.0312
10011156250.0000,   4.2247,   0.4713,   0.9427,   0.0308
10013750000.0000,   4.2241,   0.4718,   0.9430,   0.0295
10016343750.0000,   4.2264,   0.4725,   0.9423,   0.0283
10018937500.0000,   4.2260,   0.4724,   0.9425,   0.0285
10021531250.0000,   4.2257,   0.4723,   0.9430,   0.0280
10024125000.0000,   4.2239,   0.4748,   0.9439,   0.0270
10026718750.0000,   4.2219,   0.4720,   0.9433,   0.0262
10029312500.0000,   4.2236,   0.4730,   0.9444,   0.0255
10031906250.0000,   4.2227,   0.4740,   0.9446,   0.0253
10034500000.0000,   4.2221,   0.4720,   0.9452,   0.0243
10037093750.0000,   4.2229,   0.4733,   0.9451,   0.0241
10039687500.0000,   4.2237,   0.4707,   0.9456,   0.0228
10042281250.0000,   4.2229,   0.4720,   0.9465,   0.0223
10044875000.0000,   4.2254,   0.4711,   0.9464,   0.0220
10047468750.0000,   4.2206,   0.4694,   0.9469,   0.0217
10050062500.0000,   4.2226,   0.4697,   0.9468,   0.0215
10052656250.0000,   4.2244,   0.4681,   0.9474,   0.0206
10055250000.0000,   4.2225,   0.4710,   0.9475,   0.0204
10057843750.0000,   4.2257,   0.4648,   0.9482,   0.0200
10060437500.0000,   4.2257,   0.4641,   0.9481,   0.0195
10063031250.0000,   4.2267,   0.4634,   0.9486,   0.0185
10065625000.0000,   4.2285,   0.4662,   0.9490,   0.0190
10068218750.0000,   4.2274,   0.4625,   0.9493,   0.0190
10070812500.0000,   4.2291,   0.4644,   0.9490,   0.0186
10073406250.0000,   4.2298,   0.4589,   0.9497,   0.0177
10076000000.0000,   4.2294,   0.4582,   0.9492,   0.0177
10078593750.0000,   4.2304,   0.4592,   0.9495,   0.0177
10081187500.0000,   4.2332,   0.4597,   0.9504,   0.0178
10083781250.0000,   4.2315,   0.4594,   0.9505,   0.0172
10086375000.0000,   4.2343,   0.4575,   0.9507,   0.0179
10088968750.0000,   4.2377,   0.4572,   0.9503,   0.0171
10091562500.0000,   4.2374,   0.4562,   0.9505,   0.0165
10094156250.0000,   4.2384,   0.4558,   0.9502,   0.0163
10096750000.0000,   4.2373,   0.4591,   0.9507,   0.0168
10099343750.0000,   4.2394,   0.4586,   0.9512,   0.0168
10101937500.0000,   4.2404,   0.4591,   0.9509,   0.0156
10104531250.0000,   4.2415,   0.4564,   0.9514,   0.0154
10107125000.0000,   4.2438,   0.4567,   0.9507,   0.0146
10109718750.0000,   4.2416,   0.4570,   0.9517,   0.0151
10112312500.0000,   4.2455,   0.4599,   0.9516,   0.0142
10114906250.0000,   4.2444,   0.4621,   0.9512,   0.0144
10117500000.0000,   4.2455,   0.4621,   0.9516,   0.0134
10120093750.0000,   4.2480,   0.4642,   0.9515,   0.0131
10122687500.0000,   4.2472,   0.4636,   0.9524,   0.0126
10125281250.0000,   4.2453,   0.4660,   0.9524,   0.0120
10127875000.0000,   4.2452,   0.4651,   0.9530,   0.0114
10130468750.0000,   4.2451,   0.4663,   0.9534,   0.0115
10133062500.0000,   4.2481,   0.4670,   0.9528,   0.0103
10135656250.0000,   4.2468,   0.4689,   0.9542,   0.0109
10138250000.0000,   4.2479,   0.4697,   0.9538,   0.0098
10140843750.0000,   4.2487,   0.4703,   0.9547,   0.0091
10143437500.0000,   4.2482,   0.4714,   0.9545,   0.0088
10146031250.0000,   4.2478,   0.4712,   0.9549,   0.0088
10148625000.0000,   4.2501,   0.4716,   0.9553,   0.0078
10151218750.0000,   4.2497,   0.4707,   0.9554,   0.0073
10153812500.0000,   4.2490,   0.4707,   0.9558,   0.0073
10156406250.0000,   4.2496,   0.4732,   0.9560,   0.0072
10159000000.0000,   4.2497,   0.4718,   0.9558,   0.0067
10161593750.0000,   4.2500,   0.4728,   0.9568,   0.0071
10164187500.0000,   4.2526,   0.4688,   0.9563,   0.0064
10166781250.0000,   4.2497,   0.4703,   0.9571,   0.0060
10169375000.0000,   4.2514,   0.4697,   0.9570,   0.0061
10171968750.0000,   4.2526,   0.4724,   0.9571,   0.0063
10174562500.0000,   4.2540,   0.4683,   0.9573,   0.0056
10177156250.0000,   4.2526,   0.4668,   0.9575,   0.0063
10179750000.0000,   4.2563,   0.4699,   0.9579,   0.0058
10182343750.0000,   4.2559,   0.4668,   0.9578,   0.0057
10184937500.0000,   4.2564,   0.4676,   0.9575,   0.0058
10187531250.0000,   4.2571,   0.4674,   0.9577,   0.0058
10190125000.0000,   4.2575,   0.4655,   0.9583,   0.0055
10192718750.0000,   4.2589,   0.4650,   0.9580,   0.0061
10195312500.0000,   4.2615,   0.4645,   0.9579,   0.0057
10197906250.0000,   4.2606,   0.4628,   0.9577,   0.0061
10200500000.0000,   4.2621,   0.4625,   0.9578,   0.0067
10203093750.0000,   4.2627,   0.4635,   0.9575,   0.0061
10205687500.0000,   4.2619,   0.4618,   0.9579,   0.0066
10208281250.0000,   4.2639,   0.4612,   0.9577,   0.0073
10210875000.0000,   4.2650,   0.4582,   0.9572,   0.0067
10213468750.0000,   4.2657,   0.4606,   0.9575,   0.0077
10216062500.0000,   4.2638,   0.4569,   0.9571,   0.0076
10218656250.0000,   4.2668,   0.4602,   0.9573,   0.0072
10221250000.0000,   4.2642,   0.4586,   0.9570,   0.0080
10223843750.0000,   4.2636,   0.4558,   0.9574,   0.0079
10226437500.0000,   4.2656,   0.4572,   0.9572,   0.0077
10229031250.0000,   4.2688,   0.4579,   0.9568,   0.0077
10231625000.0000,   4.2652,   0.4577,   0.9569,   0.0077
10234218750.0000,   4.2686,   0.4586,   0.9573,   0.0081
10236812500.0000,   4.2666,   0.4581,   0.9572,   0.0072
10239406250.0000,   4.2700,   0.4579,   0.9570,   0.0076
10242000000.0000,   4.2675,   0.4598,   0.9575,   0.0077
10244593750.0000,   4.2684,   0.4576,   0.9574,   0.0074
10247187500.0000,   4.2671,   0.4607,   0.9577,   0.0075
10249781250.0000,   4.2684,   0.4592,   0.9581,   0.0074
10252375000.0000,   4.2627,   0.4606,   0.9582,   0.0075
10254968750.0000,   4.2621,   0.4622,   0.9580,   0.0077
10257562500.0000,   4.2656,   0.4624,   0.9580,   0.0078
10260156250.0000,   4.2653,   0.4638,   0.9585,   0.0070
10262750000.0000,   4.2653,   0.4637,   0.9578,   0.0067
10265343750.0000,   4.2604,   0.4668,   0.9592,   0.0070
10267937500.0000,   4.2623,   0.4644,   0.9589,   0.0058
10270531250.0000,   4.2659,   0.4678,   0.9585,   0.0064
10273125000.0000,   4.2618,   0.4682,   0.9592,   0.0062
10275718750.0000,   4.2630,   0.4710,   0.9592,   0.0057
10278312500.0000,   4.2601,   0.4688,   0.9590,   0.0062
10280906250.0000,   4.2605,   0.4684,   0.9591,   0.0054
10283500000.0000,   4.2608,   0.4694,   0.9591,   0.0055
10286093750.0000,   4.2600,   0.4712,   0.9594,   0.0058
10288687500.0000,   4.2586,   0.4706,   0.9597,   0.0055
10291281250.0000,   4.2602,   0.4735,   0.9594,   0.0051
10293875000.0000,   4.2594,   0.4700,   0.9597,   0.0052
10296468750.0000,   4.2566,   0.4713,   0.9599,   0.0051
10299062500.0000,   4.2593,   0.4708,   0.9595,   0.0051
10301656250.0000,   4.2585,   0.4668,   0.9602,   0.0041
10304250000.0000,   4.2608,   0.4723,   0.9595,   0.0040
10306843750.0000,   4.2575,   0.4697,   0.9594,   0.0040
10309437500.0000,   4.2603,   0.4710,   0.9594,   0.0038
10312031250.0000,   4.2578,   0.4707,   0.9595,   0.0036
10314625000.0000,   4.2571,   0.4712,   0.9600,   0.0034
10317218750.0000,   4.2580,   0.4696,   0.9601,   0.0033
10319812500.0000,   4.2564,   0.4653,   0.9604,   0.0038
10322406250.0000,   4.2553,   0.4682,   0.9600,   0.0039
10325000000.0000,   4.2552,   0.4693,   0.9600,   0.0035
10327593750.0000,   4.2513,   0.4680,   0.9603,   0.0038
10330187500.0000,   4.2545,   0.4641,   0.9597,   0.0036
10332781250.0000,   4.2523,   0.4641,   0.9600,   0.0034
10335375000.0000,   4.2517,   0.4620,   0.9606,   0.0033
10337968750.0000,   4.2465,   0.4632,   0.9608,   0.0038
10340562500.0000,   4.2489,   0.4585,   0.9603,   0.0038
10343156250.0000,   4.2469,   0.4597,   0.9605,   0.0045
10345750000.0000,   4.2472,   0.4589,   0.9612,   0.0042
10348343750.0000,   4.2470,   0.4574,   0.9610,   0.0050
10350937500.0000,   4.2446,   0.4546,   0.9611,   0.0047
10353531250.0000,   4.2421,   0.4522,   0.9613,   0.0046
10356125000.0000,   4.2415,   0.4531,   0.9616,   0.0050
10358718750.0000,   4.2397,   0.4516,   0.9622,   0.0048
10361312500.0000,   4.2363,   0.4520,   0.9620,   0.0053
10363906250.0000,   4.2369,   0.4518,   0.9628,   0.0060
10366500000.0000,   4.2362,   0.4487,   0.9627,   0.0054
10369093750.0000,   4.2342,   0.4504,   0.9634,   0.0055
10371687500.0000,   4.2344,   0.4508,   0.9633,   0.0066
10374281250.0000,   4.2295,   0.4487,   0.9642,   0.0072
10376875000.0000,   4.2308,   0.4473,   0.9644,   0.0073
10379468750.0000,   4.2295,   0.4472,   0.9641,   0.0074
10382062500.0000,   4.2317,   0.4484,   0.9645,   0.0078
10384656250.0000,   4.2273,   0.4485,   0.9653,   0.0071
10387250000.0000,   4.2290,   0.4485,   0.9646,   0.0076
10389843750.0000,   4.2304,   0.4512,   0.9656,   0.0072
10392437500.0000,   4.2274,   0.4507,   0.9662,   0.0074
10395031250.0000,   4.2296,   0.4533,   0.9664,   0.0071
10397625000.0000,   4.2256,   0.4531,   0.9673,   0.0070
10400218750.0000,   4.2273,   0.4524,   0.9672,   0.0065
10402812500.0000,   4.2276,   0.4551,   0.9683,   0.0068
10405406250.0000,   4.2264,   0.4551,   0.9685,   0.0067
10408000000.0000,   4.2257,   0.4585,   0.9686,   0.0065
10410593750.0000,   4.2278,   0.4610,   0.9680,   0.0065
10413187500.0000,   4.2292,   0.4618,   0.9684,   0.0059
10415781250.0000,   4.2293,   0.4625,   0.9694,   0.0053
10418375000.0000,   4.2303,   0.4628,   0.9695,   0.0051
10420968750.0000,   4.2318,   0.4651,   0.9689,   0.0055
10423562500.0000,   4.2320,   0.4659,   0.9693,   0.0043
10426156250.0000,   4.2311,   0.4658,   0.9691,   0.0043
10428750000.0000,   4.2323,   0.4658,   0.9693,   0.0050
10431343750.0000,   4.2332,   0.4671,   0.9697,   0.0045
10433937500.0000,   4.2353,   0.4695,   0.9695,   0.0046
10436531250.0000,   4.2345,   0.4680,   0.9696,   0.0035
10439125000.0000,   4.2389,   0.4715,   0.9693,   0.0042
10441718750.0000,   4.2370,   0.4691,   0.9697,   0.0034
10444312500.0000,   4.2362,   0.4670,   0.9698,   0.0034
10446906250.0000,   4.2359,   0.4707,   0.9698,   0.0038
10449500000.0000,   4.2357,   0.4713,   0.9690,   0.0040
10452093750.0000,   4.2368,   0.4706,   0.9688,   0.0030
10454687500.0000,   4.2392,   0.4707,   0.9689,   0.0031
10457281250.0000,   4.2353,   0.4681,   0.9692,   0.0036
10459875000.0000,   4.2355,   0.4679,   0.9687,   0.0034
10462468750.0000,   4.2334,   0.4649,   0.9686,   0.0032
10465062500.0000,   4.2349,   0.4658,   0.9686,   0.0035
10467656250.0000,   4.2307,   0.4685,   0.9686,   0.0040
10470250000.0000,   4.2307,   0.4659,   0.9685,   0.0037
10472843750.0000,   4.2281,   0.4634,   0.9687,   0.0035
10475437500.0000,   4.2286,   0.4628,   0.9683,   0.0036
10478031250.0000,   4.2264,   0.4596,   0.9681,   0.0040
10480625000.0000,   4.2243,   0.4577,   0.9687,   0.0039
10483218750.0000,   4.2269,   0.4566,   0.9688,   0.0042
10485812500.0000,   4.2213,   0.4563,   0.9697,   0.0051
10488406250.0000,   4.2238,   0.4536,   0.9692,   0.0042
10491000000.0000,   4.2191,   0.4522,   0.9691,   0.0049
10493593750.0000,   4.2200,   0.4519,   0.9694,   0.0055
10496187500.0000,   4.2169,   0.4488,   0.9696,   0.0061
10498781250.0000,   4.2125,   0.4507,   0.9705,   0.0060
10501375000.0000,   4.2079,   0.4410,   0.9704,   0.0051
10503968750.0000,   4.2000,   0.4412,   0.9711,   0.0063
10506562500.0000,   4.2070,   0.4477,   0.9706,   0.0069
10509156250.0000,   4.2030,   0.4424,   0.9708,   0.0063
